latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.289,134.071,327.4,1.7,1.3,2018-10-17,0100,T,68,6.0NRT,309.1,20.1,D
-20.292,134.087,330,1.7,1.3,2018-10-17,0100,T,74,6.0NRT,308.3,27.6,D
-24.7,148.38,317,3.6,1.8,2018-10-17,0100,T,54,6.0NRT,290.3,54.4,D
-23.037,134.931,336.9,1.4,1.2,2018-10-17,0100,T,81,6.0NRT,307.7,37.6,D
-23.039,134.944,339.3,1.4,1.2,2018-10-17,0100,T,84,6.0NRT,308.6,42.3,D
-23.042,134.958,331.6,1.4,1.2,2018-10-17,0100,T,56,6.0NRT,308.5,24,D
-23.05,134.943,351.5,1.4,1.2,2018-10-17,0100,T,94,6.0NRT,309.7,79.9,D
-23.052,134.956,344.4,1.4,1.2,2018-10-17,0100,T,89,6.0NRT,310.6,57.2,D
-23.054,134.969,327.2,1.3,1.2,2018-10-17,0100,T,36,6.0NRT,309.7,16.1,D
-23.067,134.98,348.2,1.3,1.1,2018-10-17,0100,T,92,6.0NRT,309.9,65.4,D
-23.079,134.991,342.5,1.3,1.1,2018-10-17,0100,T,87,6.0NRT,309.4,45.9,D
-23.081,135.004,349.6,1.3,1.1,2018-10-17,0100,T,93,6.0NRT,312.5,66.3,D
-23.072,134.972,326.1,1.3,1.1,2018-10-17,0100,T,24,6.0NRT,308.5,15.1,D
-23.075,134.985,341,1.3,1.1,2018-10-17,0100,T,85,6.0NRT,308.8,45.7,D
-23.077,134.998,347.8,1.3,1.1,2018-10-17,0100,T,92,6.0NRT,313,62.9,D
-23.079,135.011,337.9,1.3,1.1,2018-10-17,0100,T,82,6.0NRT,312.9,35.5,D
-24.986,149.85,312,4.6,2,2018-10-17,0100,T,26,6.0NRT,291.1,56.2,D
-25.156,148.573,322.2,3.8,1.8,2018-10-17,0100,T,71,6.0NRT,290.3,99.1,D
-25.159,148.61,314.2,3.8,1.8,2018-10-17,0100,T,41,6.0NRT,288.2,48.4,D
-25.146,148.567,316.6,3.8,1.8,2018-10-17,0100,T,59,6.0NRT,290.9,62.6,D
-25.149,148.604,318.3,3.8,1.8,2018-10-17,0100,T,64,6.0NRT,290.1,71.7,D
-25.784,148.588,316.5,3.8,1.8,2018-10-17,0100,T,39,6.0NRT,296,35.6,D
-25.773,148.582,317.4,3.8,1.8,2018-10-17,0100,T,49,6.0NRT,295.7,43.2,D
-23.515,127.191,350.3,4.5,2,2018-10-17,0100,T,94,6.0NRT,307.1,444.8,D
-23.525,127.234,326.6,4.5,2,2018-10-17,0100,T,72,6.0NRT,307.1,102.3,D
-23.515,127.186,345.2,4.5,2,2018-10-17,0100,T,91,6.0NRT,306.8,357.9,D
-23.524,127.229,329.1,4.5,2,2018-10-17,0100,T,75,6.0NRT,307.3,132.1,D
-24.259,130.15,330.7,2.7,1.6,2018-10-17,0100,T,40,6.0NRT,308.5,64.8,D
-24.273,130.146,344.2,2.7,1.6,2018-10-17,0100,T,90,6.0NRT,309.6,156.6,D
-24.287,130.143,366.1,2.7,1.6,2018-10-17,0100,T,100,6.0NRT,309.7,378.4,D
-24.292,130.169,348.8,2.7,1.6,2018-10-17,0100,T,93,6.0NRT,311.2,186.8,D
-24.307,130.166,337.4,2.7,1.6,2018-10-17,0100,T,63,6.0NRT,308.8,104.9,D
-24.312,130.192,346.7,2.7,1.6,2018-10-17,0100,T,91,6.0NRT,310,169.7,D
-24.317,130.218,366.5,2.7,1.6,2018-10-17,0100,T,100,6.0NRT,310.6,376.5,D
-24.322,130.244,345.1,2.7,1.6,2018-10-17,0100,T,91,6.0NRT,308.6,157.1,D
-24.276,130.14,340.3,2.7,1.6,2018-10-17,0100,T,59,6.0NRT,308.3,119.7,D
-24.29,130.136,357.6,2.7,1.6,2018-10-17,0100,T,98,6.0NRT,308.4,280.3,D
-24.296,130.162,356.6,2.7,1.6,2018-10-17,0100,T,98,6.0NRT,311.7,263.1,D
-24.315,130.185,339.4,2.7,1.6,2018-10-17,0100,T,73,6.0NRT,307.9,116.8,D
-24.321,130.211,357.2,2.7,1.6,2018-10-17,0100,T,98,6.0NRT,308.4,266.8,D
-24.326,130.237,347.4,2.7,1.6,2018-10-17,0100,T,92,6.0NRT,307.3,175.4,D
-24.331,130.263,324.8,2.7,1.6,2018-10-17,0100,T,25,6.0NRT,308.2,37,D
-24.815,129.477,319.9,2.9,1.6,2018-10-17,0100,T,41,6.0NRT,306.1,30.6,D
-25.059,130.693,331.1,2.4,1.5,2018-10-17,0100,T,78,6.0NRT,311.2,59.8,D
-25.063,130.716,322.8,2.4,1.5,2018-10-17,0100,T,48,6.0NRT,308.8,26.1,D
-24.83,129.474,325.8,2.9,1.6,2018-10-17,0100,T,70,6.0NRT,305,57.5,D
